ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,safotu,-13.4513,-172.4018,26.42,80,54,8.82,WS,1722593258
283,bathsheba,13.2167,-59.5167,28.34,83,20,2.06,BB,1722593259
284,mitchell,43.7094,-98.0298,19.99,91,0,2.06,US,1722593260
285,haiku-pauwela,20.9219,-156.3051,22.92,82,75,4.12,US,1722593261
286,constantia,44.1833,28.65,34.38,49,6,7.67,RO,1722593263
287,chincholi,17.4667,77.4333,28.46,70,100,9.14,IN,1722593264
288,alesund,62.4723,6.1549,19.51,67,0,5.14,NO,1722593265
289,longwy,49.5194,5.7688,24.34,74,37,1.34,FR,1722593267
290,sorong,-0.8833,131.25,26.61,84,73,3.83,ID,1722593269
291,darovskoy,58.77,47.9564,23.1,51,95,1.84,RU,1722593270
292,uturoa,-16.7333,-151.4333,23.68,63,18,6.15,PF,1722593271
293,laguna,38.421,-121.4238,23.63,60,0,2.06,US,1722593272
294,whitehorse,60.7161,-135.0538,8.78,70,38,0.89,CA,1722593274
295,northam,51.0333,-4.2167,20.22,72,39,5.78,GB,1722593275
296,conception bay south,47.4999,-52.9981,21.53,98,100,3.6,CA,1722593276
297,iskateley,67.6803,53.1512,24.41,46,66,7.77,RU,1722593277
298,cidade velha,14.9167,-23.6167,25.16,72,90,3.3,CV,1722593278
299,as sulayyil,20.4607,45.5779,43.14,9,24,4.49,SA,1722593280
300,mary,37.0,62.5,41.23,9,1,7.81,TM,1722593281
301,ketchikan,55.3422,-131.6461,14.26,72,0,3.09,US,1722593282
302,holualoa,19.6228,-155.9522,21.42,90,89,2.02,US,1722593283
303,saint-pierre,-21.3393,55.4781,25.87,53,0,3.6,RE,1722593285
304,kashgar,39.4547,75.9797,35.43,19,55,2.05,CN,1722593286
305,greenbrier,36.4276,-86.8047,25.24,99,100,1.54,US,1722593287
306,goundam,16.4145,-3.6708,32.22,50,42,6.58,ML,1722593288
307,glace bay,46.1969,-59.957,22.87,95,75,5.14,CA,1722593289
308,balaka,-14.9793,34.9558,26.89,24,0,2.11,MW,1722593291
309,bigadic,39.3925,28.1311,30.55,26,0,3.7,TR,1722593292
310,muravlenko,63.7898,74.523,23.31,59,98,6.46,RU,1722593293
311,shingu,33.7333,135.9833,26.91,85,25,1.73,JP,1722593294
312,polyarnyy,69.1989,33.4478,13.0,78,20,6.59,RU,1722593295
313,port douglas,-16.4833,145.4667,20.51,83,25,6.32,AU,1722593297
314,sassnitz,54.5167,13.65,21.56,61,100,2.65,DE,1722593298
315,ben gardane,33.1378,11.2197,36.25,21,0,2.44,TN,1722593299
316,ryotsu-minato,38.0833,138.4333,25.59,83,8,1.13,JP,1722593300
317,undurkhaan,47.3194,110.6556,22.03,71,59,2.44,MN,1722593302
318,ancud,-41.8697,-73.8203,9.48,90,96,5.9,CL,1722593303
319,huarmey,-10.0681,-78.1522,16.65,88,36,2.59,PE,1722593304
320,kerman,30.2832,57.0788,36.82,10,5,3.19,IR,1722593305
321,thinadhoo,0.5333,72.9333,28.71,76,100,4.25,MV,1722593307
322,vorgashor,67.5833,63.95,24.12,49,74,5.46,RU,1722593308
323,bafoulabe,13.8065,-10.8321,27.55,83,97,4.26,ML,1722593309
324,timimoun,29.2639,0.231,40.11,10,0,5.44,DZ,1722593310
325,tsarychanka,48.937,34.4786,30.89,19,6,6.11,UA,1722593311
326,kirby,29.4633,-98.3856,26.84,86,75,3.09,US,1722593313
327,kailua-kona,19.6406,-155.9956,23.49,91,86,2.13,US,1722593314
328,quchan,37.106,58.5095,30.23,37,0,8.52,IR,1722593315
329,howard springs,-12.497,131.047,27.77,60,10,2.38,AU,1722593317
330,porto novo,6.4965,2.6036,27.53,70,100,4.49,BJ,1722593319
331,la passe,45.5549,-0.8967,25.79,69,0,5.25,FR,1722593320
332,vorkuta,67.5,64.0,24.5,47,91,5.55,RU,1722593100
333,muisne,0.6,-80.0333,23.79,87,100,3.91,EC,1722593322
334,villa vicente guerrero,19.1194,-98.1708,11.23,89,83,2.43,MX,1722593323
335,mazagao,-0.115,-51.2894,24.03,98,40,0.92,BR,1722593325
336,taroa,8.7058,171.2275,28.15,72,3,0.85,MH,1722593326
337,ouani,-12.1322,44.4258,25.96,68,6,5.55,KM,1722593327
338,coquimbo,-29.9533,-71.3436,11.85,100,100,3.6,CL,1722593328
339,poso,-1.3959,120.7524,26.74,79,38,0.16,ID,1722593329
340,burela de cabo,43.65,-7.4,18.78,72,46,2.01,ES,1722593331
341,bria,6.5423,21.9863,30.31,58,27,1.17,CF,1722593332
342,necochea,-38.5473,-58.7368,19.42,73,100,8.06,AR,1722593333
343,columbia,34.0007,-81.0348,27.0,93,20,0.0,US,1722592884
344,sihanoukville,10.6093,103.5296,29.97,79,40,3.6,KH,1722593335
345,dali,25.7,100.1833,24.66,63,30,3.14,CN,1722593337
346,blenheim,-41.516,173.9528,0.29,90,1,2.53,NZ,1722593180
347,ambon,-3.6954,128.1814,26.6,95,40,4.63,ID,1722593339
348,krapivinskiy,54.9992,86.8133,28.45,50,87,2.39,RU,1722593340
349,mangochi,-14.4782,35.2645,27.14,27,0,3.91,MW,1722593341
350,guixi,28.2886,117.2133,34.8,60,46,1.57,CN,1722593343
351,padang,-0.9492,100.3543,30.03,85,68,2.47,ID,1722593344
352,kilindoni,-7.9139,39.6668,24.75,73,25,7.41,TZ,1722593345
353,aykhal,66.0,111.5,17.76,44,100,3.92,RU,1722593346
354,moree,-29.4667,149.85,10.03,67,0,3.9,AU,1722593348
355,dedovichi,57.5517,29.9502,17.92,80,100,4.82,RU,1722593349
356,geneina,13.45,22.45,27.14,63,46,4.28,SD,1722593350
357,zabid,14.1951,43.3152,32.19,57,91,10.33,YE,1722593351
358,eastbourne,50.7687,0.2845,22.93,83,28,1.34,GB,1722593352
359,bomdila,27.25,92.4,12.68,96,98,1.54,IN,1722593354
360,dickinson,29.4608,-95.0513,27.85,92,40,1.54,US,1722593355
361,ta`u,-14.2336,-169.5144,25.94,71,31,8.36,AS,1722593357
362,bredasdorp,-34.5322,20.0403,14.64,63,52,3.0,ZA,1722593358
363,iaciara,-14.0958,-46.6317,19.48,65,0,1.81,BR,1722593359
364,cartagena,10.3997,-75.5144,26.72,87,97,2.59,CO,1722593361
365,cam ranh,11.9214,109.1591,32.98,52,20,3.09,VN,1722593362
366,douz,33.4663,9.0203,40.15,13,0,4.75,TN,1722593363
367,kirensk,57.7853,108.1119,21.7,48,52,0.9,RU,1722593364
368,nuku'alofa,-21.1333,-175.2,19.19,94,20,2.57,TO,1722593366
369,dunedin,-45.8742,170.5036,3.22,93,19,0.45,NZ,1722593301
370,suntar,62.1444,117.6319,19.9,44,100,1.58,RU,1722593368
371,donnacona,46.6804,-71.7239,22.32,99,37,1.79,CA,1722593369
372,woodward,36.4337,-99.3904,24.57,79,40,1.54,US,1722593370
373,grand island,40.925,-98.342,20.16,90,0,2.06,US,1722593372
374,suomussalmi,64.8869,28.9078,18.11,77,100,3.98,FI,1722593373
375,reynosa,26.0833,-98.2833,27.21,91,0,2.06,MX,1722593151
376,olyokminsk,60.3736,120.4264,19.5,41,100,1.35,RU,1722593375
377,port isabel,26.0734,-97.2086,27.79,91,0,1.54,US,1722593376
378,yekaterinoslavka,50.3734,129.1139,23.16,56,39,1.79,RU,1722593378
379,amursk,50.2261,136.8994,18.62,72,6,5.15,RU,1722593379
380,maitum,6.0392,124.4986,27.28,82,15,1.55,PH,1722593380
381,bununu,9.8681,9.6628,26.71,69,100,2.5,NG,1722593381
382,kontagora,10.3999,5.4695,25.24,81,100,3.42,NG,1722593382
383,spring creek,40.7266,-115.5859,19.61,21,88,2.28,US,1722593385
384,rizhao,35.4275,119.4553,29.76,84,65,3.71,CN,1722593386
385,binuangan,8.9153,124.7883,24.12,75,100,2.17,PH,1722593388
386,hope,33.6671,-93.5916,26.03,76,51,2.5,US,1722593391
387,new norfolk,-42.7826,147.0587,10.4,82,86,1.37,AU,1722593392
388,riscani,47.9572,27.5539,29.94,33,47,2.2,MD,1722593393
389,miracema,-21.4122,-42.1967,14.86,92,0,0.13,BR,1722593395
390,america dourada,-11.4553,-41.4361,17.63,78,100,4.47,BR,1722593396
391,alavus,62.5833,23.6167,17.41,98,100,1.27,FI,1722593397
392,atherton,53.5237,-2.4935,22.16,65,19,2.24,GB,1722593399
393,rio grande,-32.035,-52.0986,14.41,92,58,6.6,BR,1722593400
394,kawambwa,-9.7915,29.0791,29.11,16,0,1.64,ZM,1722593402
395,harper,4.375,-7.7169,24.91,81,99,4.68,LR,1722593403
396,neiafu,-18.65,-173.9833,24.44,74,99,7.01,TO,1722593404
397,sisimiut,66.9395,-53.6735,7.41,71,3,1.26,GL,1722593406
398,altay,47.8667,88.1167,30.72,20,9,2.83,CN,1722593407
399,imbituba,-28.24,-48.6703,19.36,95,24,6.28,BR,1722593408
400,pinehurst,35.1954,-79.4695,26.44,91,0,2.06,US,1722593409
401,zomba,-15.386,35.3188,24.62,27,0,2.68,MW,1722593410
402,bousso,10.4795,16.7117,30.07,59,97,3.05,TD,1722593412
403,iwon-up,40.3231,128.6553,25.85,89,68,3.11,KP,1722593413
404,south venice,27.0531,-82.4243,25.7,95,0,4.12,US,1722593414
405,huayacocotla,20.55,-98.4833,13.05,95,99,0.32,MX,1722593415
406,an nuhud,12.7,28.4333,30.26,48,55,6.62,SD,1722593417
407,luderitz,-26.6481,15.1594,21.12,32,0,3.65,NA,1722593418
408,gobabis,-22.45,18.9667,22.82,13,33,2.28,NA,1722593419
409,sambava,-14.2667,50.1667,25.67,52,0,7.25,MG,1722593420
410,coatesville,39.9832,-75.8238,25.03,95,0,0.0,US,1722593421
411,san antonio de pale,-1.4014,5.6325,22.33,81,45,5.06,GQ,1722593423
412,melekeok village,7.4957,134.6367,28.31,78,75,2.57,PW,1722593424
413,mariehamn,60.0973,19.9348,17.92,72,100,4.63,AX,1722593425
414,vila franca do campo,37.7167,-25.4333,23.23,72,88,1.4,PT,1722593426
415,namibe,-15.1961,12.1522,21.85,69,15,3.93,AO,1722593427
416,kalymnos,36.95,26.9833,30.74,48,0,5.14,GR,1722593429
417,nicoya,10.1483,-85.452,22.84,97,99,0.95,CR,1722593430
418,fuling,29.7022,107.3919,34.67,64,26,1.03,CN,1722593431
419,kharan,28.5833,65.4167,40.53,8,100,7.21,PK,1722593432
420,ola,59.5833,151.2833,9.21,87,100,5.2,RU,1722593433
421,khenifra,32.9333,-5.6667,32.19,25,2,1.18,MA,1722593435
422,monze,-16.2833,27.4833,24.82,27,10,3.23,ZM,1722593436
423,vanadzor,40.8046,44.4939,18.18,94,100,2.71,AM,1722593437
424,arno,60.1167,18.6333,15.99,62,90,4.73,SE,1722593438
425,beira,-19.8436,34.8389,24.69,53,86,2.47,MZ,1722593440
426,cannonvale,-20.2833,148.7,18.66,72,0,7.25,AU,1722593441
427,ialibu,-6.2821,143.9935,14.91,99,100,0.25,PG,1722593442
428,port saint john's,-31.6229,29.5448,21.7,56,36,7.66,ZA,1722593443
429,kitimat,54.0524,-128.6534,12.05,27,78,0.89,CA,1722593444
430,palmas de monte alto,-14.2672,-43.1619,21.36,62,80,3.46,BR,1722593446
431,yigo village,13.5361,144.8886,24.62,98,100,4.63,GU,1722593447
432,cedeira,43.6797,-8.0209,20.55,77,10,2.85,ES,1722593448
433,itaituba,-4.2761,-55.9836,20.61,66,7,0.22,BR,1722593449
434,kupang,-10.1667,123.5833,29.32,65,20,7.2,ID,1722593402
435,rongelap,11.1635,166.8941,28.61,78,10,3.54,MH,1722593452
436,cullowhee,35.3137,-83.1765,22.95,97,40,0.0,US,1722593453
437,thunder bay,48.4001,-89.3168,18.04,61,0,3.37,CA,1722593454
438,kalmunai,7.4167,81.8167,30.47,69,98,2.98,LK,1722593455
439,hirtshals,57.5881,9.9592,18.73,59,25,2.44,DK,1722593457
440,shimoda,34.6667,138.95,26.72,87,10,2.43,JP,1722593458
441,mount isa,-20.7333,139.5,15.87,48,0,2.06,AU,1722593459
442,kyren,51.6828,102.1408,21.84,66,100,1.34,RU,1722593460
443,moeiwadi,16.3894,104.1572,26.58,88,100,2.54,TH,1722593461
444,arraial do cabo,-22.9661,-42.0278,18.92,82,0,2.06,BR,1722593464
445,tarawa,1.419,172.984,28.05,83,75,2.57,KI,1722593465
446,maracacume,-2.0428,-45.9592,22.18,96,30,1.08,BR,1722593466
447,rundu,-17.9333,19.7667,29.8,11,0,4.73,NA,1722593468
448,khobi,42.3156,41.8987,27.04,61,46,3.68,GE,1722593469
449,acajutla,13.5928,-89.8275,26.61,68,91,2.24,SV,1722593470
450,viransehir,37.2353,39.7631,39.9,12,0,1.78,TR,1722593471
451,hammerfest,70.6634,23.6821,16.25,77,0,2.57,NO,1722593473
452,kyzyl-suu,42.3414,78.0056,23.56,44,61,4.65,KG,1722593474
453,katsuren-haebaru,26.3369,127.8719,31.21,75,0,4.12,JP,1722593475
454,volchikha,52.0333,80.3833,33.48,23,23,5.04,RU,1722593476
455,gizo,-8.103,156.8419,27.02,84,98,7.63,SB,1722593477
456,christchurch,-43.5333,172.6333,3.3,86,0,2.06,NZ,1722593323
457,piat,17.7905,121.478,27.52,88,33,2.65,PH,1722593480
458,karratha,-20.7377,116.8463,21.25,78,100,4.09,AU,1722593481
459,nadi,-17.8,177.4167,23.0,88,20,0.51,FJ,1722593482
460,nizhnyaya omka,55.4338,74.9426,28.35,53,98,2.58,RU,1722593483
461,kenai,60.5544,-151.2583,15.05,79,20,8.23,US,1722593485
462,alamogordo,32.8995,-105.9603,26.79,47,20,2.06,US,1722593486
463,tabou,4.423,-7.3528,24.77,83,98,4.59,CI,1722593487
464,el calafate,-50.3408,-72.2768,2.01,99,100,1.1,AR,1722593488
465,hope mills,34.9704,-78.9453,27.16,93,0,2.57,US,1722593489
466,lashkar gah,31.5938,64.3716,43.79,6,56,3.44,AF,1722593491
467,san bernardo del viento,9.3533,-75.9524,25.27,85,100,3.21,CO,1722593492
468,shumen,43.2706,26.9229,34.11,18,0,4.04,BG,1722593493
469,hohhot,40.8106,111.6522,23.28,64,100,1.39,CN,1722593494
470,vadso,70.0744,29.7487,14.09,88,40,5.66,NO,1722593496
471,grand falls-windsor,48.9332,-55.6649,21.39,91,100,1.79,CA,1722593497
472,wanning,18.8003,110.3967,30.57,72,49,4.99,CN,1722593498
473,brokopondo,4.75,-55.1667,24.03,88,29,1.61,SR,1722593499
474,nema,57.5067,50.5011,20.31,75,97,1.91,RU,1722593500
475,leua,48.2156,18.6071,23.05,60,100,2.15,SK,1722593502
476,karamay,45.6004,84.8661,36.33,16,41,3.05,CN,1722593503
477,fort bragg,35.139,-79.006,26.06,95,26,2.37,US,1722593504
478,narasannapeta,18.4167,84.05,31.92,60,100,3.91,IN,1722593505
479,nova olimpia,-14.7972,-57.2881,22.15,43,0,2.04,BR,1722593507
480,burang,30.25,81.1667,13.98,68,96,3.29,CN,1722593508
481,lukoyanov,55.0277,44.4786,17.05,80,100,6.48,RU,1722593509
482,virginia beach,36.8529,-75.978,27.24,94,40,2.57,US,1722593343
483,kapuskasing,49.4169,-82.4331,18.44,89,100,2.39,CA,1722593511
484,cox's bazar,21.4532,91.9798,25.79,92,100,7.31,BD,1722593513
485,chernyshevskiy,63.0128,112.4714,18.93,36,7,1.77,RU,1722593515
486,taulaga,-11.0553,-171.0883,27.29,74,14,7.21,AS,1722593516
487,ruteng,-8.6136,120.4721,17.88,99,97,0.21,ID,1722593517
488,hat yai,7.0084,100.4767,32.1,70,75,3.6,TH,1722593519
489,icano,-28.9193,-65.3282,20.05,47,32,3.14,AR,1722593520
490,gorontalo,0.5412,123.0595,25.85,79,11,1.79,ID,1722593400
491,quepos,9.4236,-84.1652,24.35,89,99,1.49,CR,1722593522
492,aginskoye,51.1,114.53,25.91,18,56,3.05,RU,1722593523
493,medina de rioseco,41.8833,-5.0441,23.58,47,0,4.48,ES,1722593525
494,kostomuksha,64.571,30.5767,15.33,93,100,3.75,RU,1722593526
495,zykovo,55.9519,93.1461,24.41,51,79,0.46,RU,1722593527
496,aksu,41.1231,80.2644,36.02,21,96,4.39,CN,1722593528
497,prado,-17.3411,-39.2208,20.6,92,49,2.63,BR,1722593529
498,kombissiri,12.0656,-1.3375,27.62,71,92,6.48,BF,1722593532
499,san jose de jachal,-30.2406,-68.7469,15.84,21,2,4.34,AR,1722593533
500,masterton,-40.9597,175.6575,7.28,89,100,1.69,NZ,1722593427
501,arkhangel'sk,64.5401,40.5433,21.06,83,40,3.0,RU,1722593536
502,ginir,7.1333,40.7,22.85,47,61,3.33,ET,1722593537
503,nabulao,9.6616,122.4577,27.13,82,45,1.46,PH,1722593538
504,villamontes,-21.25,-63.5,14.0,82,0,2.42,BO,1722593540
505,severobaykal'sk,55.65,109.3167,16.61,71,77,1.21,RU,1722593542
506,kristiansund,63.1115,7.732,19.03,76,0,4.63,NO,1722593543
507,bacalar,18.6667,-88.3833,23.58,98,99,0.84,MX,1722593544
508,makubetsu,45.3714,141.8211,21.23,99,100,4.34,JP,1722593545
509,sequeira,40.5536,-7.2259,24.39,45,1,3.31,PT,1722593547
510,arroyo,41.6096,-4.7969,23.97,56,0,5.14,ES,1722593548
511,crucecita,-28.95,-58.9833,25.22,38,4,9.12,AR,1722593549
512,atencingo,18.5167,-98.6,17.5,82,98,1.36,MX,1722593550
513,that phanom,16.9364,104.7104,25.48,92,100,1.99,TH,1722593551
514,sarupathar,26.1984,93.8094,27.56,91,97,2.42,IN,1722593553
515,farim,12.4839,-15.2217,26.4,82,96,2.34,GW,1722593554
516,tembisa,-25.9964,28.2268,17.77,69,45,2.06,ZA,1722593555
517,bredy,52.4153,60.3411,22.15,57,36,4.42,RU,1722593556
518,nowy dwor mazowiecki,52.4302,20.7165,26.74,50,40,2.57,PL,1722593558
519,tanjung selor,2.8372,117.3642,25.84,95,60,1.04,ID,1722593559
520,keflavik,64.0049,-22.5624,11.95,82,0,6.17,IS,1722593560
521,huinan,42.6225,126.2614,24.38,92,27,2.32,CN,1722593561
522,quellon,-43.1167,-73.6167,8.71,93,88,5.31,CL,1722593562
523,minas novas,-17.2186,-42.5903,13.8,91,9,0.93,BR,1722593564
524,butterworth,5.3991,100.3638,32.02,66,20,4.63,MY,1722593565
525,lisala,2.15,21.5167,35.32,35,44,1.01,CD,1722593566
526,saint-francois,46.4154,3.9054,27.03,78,75,1.54,FR,1722593567
527,ust-tsilma,65.441,52.1498,24.54,47,42,2.58,RU,1722593568
528,sidney,-33.8679,151.2073,11.46,85,24,0.45,AU,1722593297
529,yakakent,41.6325,35.5289,27.19,58,0,5.73,TR,1722593571
530,kintinku,-5.8833,35.2333,28.64,24,45,3.36,TZ,1722593572
531,wanganui,-39.9333,175.05,5.31,89,7,2.99,NZ,1722593573
532,tshikapa,-6.4167,20.8,36.51,11,6,2.17,CD,1722593574
533,iten,0.6765,35.5136,17.96,66,86,2.4,KE,1722593576
534,bodaybo,57.8506,114.1933,15.28,91,100,0.64,RU,1722593578
535,puerto penasco,31.3167,-113.5333,31.06,78,3,2.24,MX,1722593579
536,kamina,-8.7386,24.9906,30.76,12,0,2.76,CD,1722593580
537,nantucket,41.2835,-70.0995,22.22,96,100,2.06,US,1722593582
538,al mahwit,15.4701,43.5448,15.21,92,84,4.07,YE,1722593583
539,grantsville,40.5999,-112.4644,23.81,24,0,3.6,US,1722593584
540,gadzhiyevo,69.2551,33.3362,12.61,79,21,6.78,RU,1722593585
541,maputo,-25.9653,32.5892,26.02,46,0,7.25,MZ,1722593587
542,kuala tungkal,-0.8167,103.4667,29.8,70,66,3.21,ID,1722593588
543,port augusta,-32.5,137.7667,13.68,37,94,0.68,AU,1722593589
544,colby,39.3958,-101.0524,21.67,72,0,2.68,US,1722593590
545,yuzhno-kurilsk,44.0306,145.8556,15.97,94,60,3.0,RU,1722593591
546,badr hunayn,23.7829,38.7905,41.54,21,10,8.03,SA,1722593593
547,kabalo,-6.05,26.9167,34.14,16,4,3.16,CD,1722593594
548,tsiombe,-25.3,45.4833,24.36,47,48,3.49,MG,1722593596
549,gao,16.6362,1.637,31.83,47,12,6.15,ML,1722593598
550,nueva gerona,21.8833,-82.8,28.07,77,51,6.0,CU,1722593599
551,ardakan,32.31,54.0175,41.61,9,47,1.97,IR,1722593600
552,al bawiti,28.3492,28.8659,36.86,19,0,2.76,EG,1722593601
553,puerto aysen,-45.4,-72.7,5.57,100,100,1.22,CL,1722593603
554,balcarce,-37.8462,-58.2552,18.23,87,100,1.79,AR,1722593604
555,baiti,13.745,-14.7482,27.87,67,100,4.14,SN,1722593605
556,sudak,44.85,34.9667,25.46,40,13,3.02,UA,1722593499
557,mehran,33.1222,46.1646,43.92,8,0,11.29,IR,1722593607
558,dombarovskiy,50.7587,59.5386,26.31,33,58,8.17,RU,1722593609
559,brigantine,39.4101,-74.3646,23.97,95,42,2.72,US,1722593610
560,west bay,19.3667,-81.4167,26.71,92,93,6.3,KY,1722593611
561,barra de santo antonio,-9.4047,-35.5072,21.6,65,100,4.19,BR,1722593612
562,amherstburg,42.1168,-83.0499,23.3,90,100,2.06,CA,1722593614
563,st. john's,47.5649,-52.7093,21.66,96,100,6.17,CA,1722593615
564,wellington,-41.2866,174.7756,8.81,83,75,8.23,NZ,1722593581
565,caruthersville,36.1931,-89.6556,25.53,90,0,3.29,US,1722593617
